"R0000100","R0536402","S7514300","S8646900","S8647300","S8647500","S8647800"
421,1982,2,-4,-4,-4,-4
422,1981,4,-4,-4,-4,-4
423,1984,2,-4,-4,-4,-4
424,1984,2,-4,-4,-4,-4
425,1982,4,1,1,1,1
426,1980,2,-4,-4,-4,-4
427,1981,-5,-5,-5,-5,-5
428,1984,-5,-5,-5,-5,-5
429,1981,0,-4,-4,-4,-4
430,1983,2,1,1,1,1
431,1984,2,-4,-4,-4,-4
432,1981,2,3,4,1,1
433,1984,-5,-5,-5,-5,-5
434,1982,2,-4,-4,-4,-4
435,1981,7,-4,-4,-4,-4
436,1982,0,2,3,3,1
437,1981,2,4,2,-2,1
438,1983,2,-4,-4,-4,-4
439,1984,0,-4,-4,-4,-4
440,1980,2,-4,-4,-4,-4
441,1982,0,1,1,1,1
442,1981,-5,-5,-5,-5,-5
443,1980,-5,-5,-5,-5,-5
444,1982,-5,-5,-5,-5,-5
445,1981,2,-4,-4,-4,-4
446,1983,2,-4,-4,-4,-4
447,1983,2,-4,-4,-4,-4
448,1983,2,-4,-4,-4,-4
449,1984,-5,-5,-5,-5,-5
450,1980,2,-4,-4,-4,-4
451,1983,0,-4,-4,-4,-4
452,1981,0,-4,-4,-4,-4
453,1982,0,-2,-2,-2,-2
454,1982,2,-4,-4,-4,-4
455,1984,2,1,-2,1,1
456,1983,4,1,2,1,1
457,1980,2,-4,-4,-4,-4
458,1982,2,1,2,1,1
459,1983,2,-4,-4,-4,-4
460,1981,2,-4,-4,-4,-4
461,1983,0,-4,-4,-4,-4
462,1981,2,-4,-4,-4,-4
463,1982,0,1,1,1,1
464,1981,2,-4,-4,-4,-4
465,1984,2,-4,-4,-4,-4
466,1983,0,-4,-4,-4,-4
467,1984,2,-4,-4,-4,-4
468,1981,2,-4,-4,-4,-4
469,1982,2,-4,-4,-4,-4
470,1981,2,-4,-4,-4,-4
471,1980,2,-4,-4,-4,-4
472,1983,3,2,1,1,1
473,1982,0,-4,-4,-4,-4
474,1984,2,-4,-4,-4,-4
475,1981,2,-4,-4,-4,-4
476,1982,2,3,4,2,4
477,1982,2,1,1,1,1
478,1983,2,-4,-4,-4,-4
479,1982,2,-4,-4,-4,-4
480,1980,2,-4,-4,-4,-4
481,1984,0,-4,-4,-4,-4
482,1983,2,2,1,1,1
483,1980,7,-4,-4,-4,-4
484,1982,4,-4,-4,-4,-4
485,1982,4,-4,-4,-4,-4
486,1980,4,-4,-4,-4,-4
487,1984,2,2,2,3,3
488,1982,2,-4,-4,-4,-4
489,1982,-5,-5,-5,-5,-5
490,1982,2,-4,-4,-4,-4
491,1984,-5,-5,-5,-5,-5
492,1983,3,-4,-4,-4,-4
493,1981,-5,-5,-5,-5,-5
494,1983,-5,-5,-5,-5,-5
495,1984,-5,-5,-5,-5,-5
496,1984,4,-4,-4,-4,-4
497,1981,4,-4,-4,-4,-4
498,1980,4,1,1,1,1
499,1982,-5,-5,-5,-5,-5
500,1982,-5,-5,-5,-5,-5
501,1982,-5,-5,-5,-5,-5
502,1983,-5,-5,-5,-5,-5
503,1981,4,-4,-4,-4,-4
504,1984,0,-4,-4,-4,-4
505,1984,2,-4,-4,-4,-4
506,1982,-5,-5,-5,-5,-5
507,1984,2,-4,-4,-4,-4
508,1981,0,-4,-4,-4,-4
509,1984,3,-4,-4,-4,-4
510,1980,-3,-4,-4,-4,-4
511,1980,2,-4,-4,-4,-4
512,1981,-5,-5,-5,-5,-5
513,1982,0,1,1,1,4
514,1981,0,-4,-4,-4,-4
515,1983,2,1,1,1,1
516,1983,0,-4,-4,-4,-4
517,1981,2,-4,-4,-4,-4
518,1983,2,-4,-4,-4,-4
